timestamp,price_g,available
2025-08-05 09:30:24,585.8999,87
2025-08-05 10:58:26,585.8997,110
2025-08-05 12:12:27,548.0000,254
2025-08-05 12:29:24,440.0000,271
2025-08-05 12:32:49,440.0000,271
