timestamp,item,price_g,available
2025-08-05 09:30:24,幽冥铁矿石,13.0000,25368
2025-08-05 09:30:24,日曜石,249.9999,20
2025-08-05 09:30:24,朱砂玛瑙,479.9995,242
2025-08-05 09:30:24,河心石,500.9996,74
2025-08-05 09:30:24,源红石,585.8999,87
2025-08-05 09:30:24,皇紫晶,399.4199,49
2025-08-05 09:30:24,荒玉,419.9898,65
2025-08-05 09:30:24,潘达利亚榴石,31.9999,230
2025-08-05 09:30:24,青金石,10.9994,740
2025-08-05 09:30:24,日长石,34.9999,1978
2025-08-05 09:30:24,虎纹石,25.9999,893
2025-08-05 09:30:24,紫翠玉,3.4999,739
2025-08-05 09:30:24,劣生石,32.9997,538
2025-08-05 09:30:24,精巧的铜线,6.8895,164
2025-08-05 09:30:24,孔雀石,0.9590,293
2025-08-05 09:30:24,虎眼石,0.9991,78
2025-08-05 09:30:24,铜矿石,4.5808,8309
2025-08-05 09:30:24,奇异之尘,5.0000,1074
2025-08-05 09:30:24,强效魔法精华,17.8798,219
2025-08-05 09:30:24,小块微光碎片,0.3496,264
